organization,yof,badge,zip_code,city,regular,retro,other,overtime,injured,detail,quinn,total,rank,ia_score,ia_sustained_conduct_unbecoming,ia_sustained_neg_duty,ia_sustained_respectful_treatment,ia_sustained_self_identification,ia_sustained_use_of_force,ia_sustained_details,ia_sustained_cases,ia_sustained_allegations,ia_cases,ia_allegations,field_contacts_count,incidents_count,complaints_count,swats_count,details_count,citations_count,articles_officers_count,rounded_total
Medically Incapacitated Unit,33,,2056,Norfolk,28659.35,0,15884.43,0,76547.65,0,21041.51,142132.94,det,1,0,0,0,0,0,0,0,0,2,2,0,7,2,0,0,0,45,140000
District 13,14,5175,2136,Hyde Park,98406.32,0,800,42934.27,0,0,0,142140.59,ptl,5,1,0,0,1,0,0,1,5,1,5,0,212,1,0,0,0,0,140000
District 11,31,,2127,Boston,97004.15,0,14664.22,11129.44,0,0,19400.84,142198.65,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000
Explosive Ordinance Unit,10,,2136,Hyde Park,93765.6,0,800,24418.54,0,4646,18753.06,142383.2,ptl,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,15,0,0,140000
C-6 Detective,31,,2341,Hanson,102552.44,0,4513.79,9793.84,0,0,25638.09,142498.16,det,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,140000
District 11,7,6028,2122,Boston,92067.4,0,800,31197.1,0,18446,0,142510.5,ptl,1,0,0,0,0,0,0,0,0,2,2,60,345,2,0,57,1,0,145000
B-3 Detective,7,6464,2127,Boston,95234.76,0,800,27513.19,0,0,19047.06,142595.01,det,0,0,0,0,0,0,0,0,0,0,0,19,259,0,0,0,0,0,145000
District 04,13,,2461,Newton Highlands,44816.34,0,7398.48,15824.81,53589.98,20976,0,142605.61,ptl,0,0,0,0,0,0,0,0,0,0,0,6,118,0,0,63,0,0,145000
District 14,5,1600,2124,Boston,87791.59,0,800,26026.81,0,28014,0,142632.4,ptl,1,0,0,0,0,0,0,0,0,2,2,39,324,2,0,85,2,0,145000
District 02,15,6489,2122,Boston,94167.58,0,850,28801.87,0,0,18833.64,142653.09,ptl,2,0,0,0,0,0,0,0,0,7,10,15,103,7,0,0,0,0,145000
Harbor Patrol Unit,27,767,2132,West Roxbury,92003,0,850,20017.55,15254.92,14536,0,142661.47,ptl,0,0,0,0,0,0,0,0,0,0,0,0,39,0,68,41,2,1,145000
District 01,25,,2170,Quincy,96335.4,0,850,8344.99,0,27738,9633.66,142902.05,ptl,1,0,0,0,0,0,0,0,0,3,5,10,59,3,0,66,8,1,145000
Auto Theft Unit,10,5241,2136,Hyde Park,90223.06,0,10068.32,18822.93,0,14904,9022.37,143040.68,ptl,0,0,0,0,0,0,0,0,0,1,2,35,100,1,0,46,39,2,145000
District 11,5,538,2136,Hyde Park,89584.32,0,800,32384.7,0,20332,0,143101.02,ptl,0,0,0,0,0,0,0,0,0,0,0,13,402,0,0,55,2,1,145000
Domestic Violence Unit,35,,1960,Peabody,102552.44,0,3731.03,16429.01,0,0,20510.59,143223.07,det,4,0,0,0,0,0,0,2,5,2,5,0,2,2,0,0,0,2,145000
District 03,26,2546,2136,Hyde Park,96804.97,0,4259.16,22822.65,0,0,19361.1,143247.88,ptl,1,0,0,0,0,0,0,0,0,4,5,5,85,4,0,0,12,1,145000
Medically Incapacitated Unit,25,48,2026,Dedham,67623.16,0,3300,19014.4,29181.81,0,24201.44,143320.81,ptl,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,145000
Court Unit,13,,2188,Weymouth,92260.17,0,9453.45,17350.18,0,15180,9226.19,143469.99,ptl,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,41,0,1,145000
Medically Incapacitated Unit,21,,2186,Milton,68818.38,0,800,26244.33,35288.47,12328,0,143479.18,ptl,3,0,0,0,0,0,0,1,1,2,2,0,87,2,0,32,0,0,145000
District 05,10,70,2122,Boston,94202.32,0,800,48481.93,0,0,0,143484.25,ptl,3,0,1,0,0,0,0,1,1,2,3,2,273,2,0,0,0,1,145000
Crimes Against Children Unit,14,2386,2081,Walpole,99118.2,0,800,19095.63,0,0,24654.53,143668.36,det,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,3,145000
District 02,6,4716,2132,West Roxbury,90074.2,0,850,42610.12,0,1840,8364.66,143738.98,ptl,0,0,0,0,0,0,0,0,0,1,1,73,253,1,0,7,1,1,145000
District 14,26,4164,2134,Allston,96372.58,0,3300,18523.75,0,1472,24093.35,143761.68,ptl,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,8,0,0,145000
Explosive Ordinance Unit,9,2866,2124,Boston,89808.43,0,3300,26816.93,0,5888,17961.69,143775.05,ptl,1,0,0,0,0,0,0,0,0,3,4,17,144,3,0,16,13,0,145000
Crimes Against Children Unit,12,2138,1887,Wilmington,75589.49,0,3350,17745.75,19120.05,9108,18876.99,143790.28,det,3,0,1,0,0,0,0,2,3,6,8,39,96,6,0,25,2,7,145000
Medically Incapacitated Unit,13,1781,2189,Weymouth,92260.17,0,800,18138.31,0,14168,18452.08,143818.56,ptl,3,0,1,0,0,0,0,1,1,2,3,2,133,2,0,41,4,2,145000
Medically Incapacitated Unit,7,4239,2122,Boston,93360.32,0,850,14373.98,0,35236,0,143820.3,ptl,1,0,0,0,0,0,0,0,0,2,2,101,90,2,0,99,0,2,145000
District 14,31,,2453,Waltham,97004.15,0,10331.65,17270.13,0,0,19400.84,144006.77,ptl,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,145000
D-14 Detective,31,,1606,Worcester,110763,0,800,28956.79,0,3496,0,144015.79,det,0,0,0,0,0,0,0,0,0,1,1,0,7,1,0,15,0,0,145000
Medically Incapacitated Unit,15,,2184,Braintree,57536.97,0,800,17377.39,37542.64,11776,19016.08,144049.08,ptl,1,0,0,0,0,0,0,0,0,2,3,8,153,2,0,34,0,1,145000
District 04,14,1611,2136,Hyde Park,86479.27,0,800,27221.96,5356.91,1334,22959.07,144151.21,ptl,1,0,0,0,0,0,0,0,0,3,4,1,89,3,0,4,0,2,145000
Special Investigation Unit,26,,2356,North Easton,102552.44,0,800,20421.97,0,0,20510.59,144285,det,3,0,0,0,0,0,0,1,1,1,1,0,5,1,0,0,0,1,145000
District 03,10,,2131,Roslindale,92077.38,0,800,33037.06,0,0,18415.44,144329.88,ptl,0,0,0,0,0,0,0,0,0,1,2,1,288,1,0,0,0,1,145000
Bicycle Unit,15,3750,2131,Roslindale,54276.98,0,850,20396.57,39879.51,10120,18831.42,144354.48,ptl,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,28,0,1,145000
Crime Scene Response Unit,14,1248,2122,Boston,92847.15,0,800,32172.98,0,0,18569.44,144389.57,ptl,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,1,145000
Medically Incapacitated Unit,14,,2136,Hyde Park,94069.25,0,800,34652.69,4337.07,10672,0,144531.01,ptl,1,0,0,0,0,0,0,0,0,2,3,23,74,2,0,30,0,0,145000
E-13 DCU SQUAD,7,2544,2122,Boston,80814.67,0,2483.98,38872.47,13387.65,9062,0,144620.77,ptl,0,0,0,0,0,0,0,0,0,1,1,407,286,1,0,26,0,2,145000
District 03,27,,2368,Randolph,97004.15,0,8598.62,14772.53,0,0,24251.02,144626.32,ptl,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,3,1,145000
Homicide Unit,33,4661,2136,Hyde Park,102552.44,0,4463.79,17162,0,0,20510.59,144688.82,det,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145000
Medically Incapacitated Unit,33,3595,2021,Canton,20796.37,0,11198.17,3644.82,76207.78,13478,19400.84,144725.98,ptl,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,33,0,1,145000
A-7 DCU SQUAD,13,,2136,Hyde Park,85825.19,0,6128.79,36512.89,12581.13,3680,0,144728,ptl,1,0,0,0,0,0,0,0,0,2,3,15,157,2,0,11,2,0,145000
Academy,25,1081,2050,Marshfield,105719.06,0,4581.83,34461.84,0,0,0,144762.73,ptl,1,0,0,0,0,0,0,0,0,2,3,1,2,2,0,0,0,29,145000
E-5 Detective,15,,2132,West Roxbury,94215.74,0,6338.19,18222.54,0,4968,21034.63,144779.1,ptl,4,0,1,2,0,0,0,3,4,7,14,94,21,7,0,22,4,2,145000
S.O.R.I. Unit,15,,2021,Canton,92260.17,0,10689.65,16491.46,0,2392,23065.07,144898.35,ptl,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6,0,0,145000
Medically Incapacitated Unit,26,,2375,South Easton,77715.71,0,800,40386.74,25629.87,368,0,144900.32,ptl,4,1,2,1,0,0,0,2,6,6,12,0,17,6,0,1,0,12,145000
Medically Incapacitated Unit,33,,2339,Hanover,0,0,15884.43,0,103272.72,0,25818.26,144975.41,det,0,0,0,0,0,0,0,0,0,1,1,0,22,1,0,0,0,2,145000
District 18,17,4315,2132,West Roxbury,98315.7,0,850,25640.14,0,552,19662.99,145020.83,ptl,3,0,1,0,0,0,1,2,3,7,10,6,215,7,0,2,2,2,145000
Mobile Operations Patrol Unit,5,,2132,West Roxbury,88141.91,0,800,46381.56,0,1518,8216.41,145057.88,ptl,0,0,0,0,0,0,0,0,0,1,1,26,154,1,0,5,14,2,145000
Leave Of Absence Unit,9,1829,2122,Boston,90170.65,0,3350,31631.46,0,2024,18034.1,145210.21,ptl,0,0,0,0,0,0,0,0,0,1,1,19,15,1,0,10,50,0,145000
District 02,22,,2132,West Roxbury,96335.4,0,11176.46,21547.51,0,6624,9633.66,145317.03,ptl,4,0,2,0,0,0,0,2,2,7,10,6,58,7,0,16,1,1,145000
District 13,24,181,2026,Dedham,103089.77,0,800,41443.56,0,0,0,145333.33,ptl,4,0,2,0,0,0,0,2,3,4,6,17,408,4,0,0,0,1,145000
District 11,7,6534,2132,West Roxbury,93781.32,0,800,26512.02,0,24288,0,145381.34,ptl,0,0,0,0,0,0,0,0,0,1,1,23,268,1,0,69,4,0,145000
Technical Services Group,26,,2339,Hanover,96771.11,0,6482.34,17960.94,0,0,24192.76,145407.15,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145000
Fugitive Section,22,,2124,Boston,103108.53,0,6381,36046.15,0,0,0,145535.68,ptl,1,0,0,0,0,0,0,0,0,2,2,49,15,2,0,0,0,1,145000
Medically Incapacitated Unit,14,,2026,Dedham,98406.32,0,800,8796.95,0,37536,0,145539.27,ptl,3,0,1,0,0,0,0,1,1,4,4,14,239,4,0,105,3,0,145000
District 05,25,,2132,West Roxbury,96335.4,0,850,27974.6,0,10810,9633.66,145603.66,ptl,1,0,0,0,0,0,0,0,0,2,2,0,208,2,0,34,0,0,145000
District 18,10,982,2136,Hyde Park,85539.5,0,800,9593.16,23837.81,1104,25022.92,145897.39,sergt,0,0,0,0,0,0,0,0,0,0,0,1,79,0,0,1,0,1,145000
District 06,13,6760,2136,Hyde Park,98361.93,0,800,44442.75,0,2392,0,145996.68,ptl,5,0,0,0,0,0,0,1,1,1,1,0,94,1,0,9,1,2,145000
Explosive Ordinance Unit,29,5148,2339,Hanover,99352.26,0,5682.7,13803.56,0,7360,19870.45,146068.97,ptl,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,22,0,3,145000
District 14,5,1691,2136,Hyde Park,89595.67,0,800,45369.3,0,10396,0,146160.97,ptl,0,0,0,0,0,0,0,0,0,0,0,74,368,0,0,28,3,0,145000
Medically Incapacitated Unit,32,,2066,Scituate,35426.59,0,9959.47,3971.53,67196.98,9154,20524.81,146233.38,det,4,0,1,1,0,0,0,2,2,4,6,1,3,4,0,31,0,0,145000
District 05,25,,2081,Walpole,96804.97,0,4259.15,10541.64,0,15272,19361.1,146238.86,ptl,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,58,0,0,145000
Youth Violence Strike Force,15,847,2124,Boston,94156.49,0,4165.35,29180.78,0,0,18831.42,146334.04,ptl,3,0,1,0,0,0,0,1,2,7,9,159,23,7,0,0,0,1,145000
Academy,13,,2368,Randolph,92612.36,0,4109.29,40406.89,0,0,9261.24,146389.78,ptl,2,0,0,0,0,0,0,1,1,3,6,1,1,3,0,0,0,9,145000
District 11,15,1798,2184,Braintree,96775.72,0,800,22969.58,0,25944,0,146489.3,ptl,3,0,1,0,0,0,0,1,1,1,2,16,269,1,0,107,0,0,145000
Medically Incapacitated Unit,5,1288,2127,Boston,89170.88,0,850,22440.9,0,34086,0,146547.78,ptl,1,0,0,0,0,0,0,0,0,2,3,26,204,2,0,105,26,0,145000
MEDICALLY INCAPACITATED SCTN,33,4296,2093,Wrentham,19461.3,0,9646.04,3866.53,79536.97,14260,19799.56,146570.4,ptl,4,0,1,2,0,0,1,6,6,12,16,0,87,12,0,37,0,3,145000
Licensing Unit,24,4647,2122,Boston,96335.4,0,800,25359.24,0,0,24083.87,146578.51,ptl,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,145000
Harbor Patrol Unit,22,4847,1701,Framingham,53133.7,0,800,19179.56,53632.1,19872,0,146617.36,ptl,3,0,1,0,0,0,0,2,2,6,7,0,2,6,0,63,0,0,145000
District 06,25,,2189,Weymouth,105367.15,0,800,19116.34,0,21344,0,146627.49,ptl,0,0,0,0,0,0,0,0,0,1,3,0,174,1,0,70,0,1,145000
Medically Incapacitated Unit,35,,2122,Boston,0,0,13955.13,0,106507,0,26301.82,146763.95,det,3,1,0,0,0,0,0,1,1,3,3,0,1,3,0,0,0,0,145000
E-18 Detective,35,,2093,Wrentham,102552.44,0,800,22916.63,0,0,20510.59,146779.66,det,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,145000
Canine Unit,25,,2136,Hyde Park,97501.09,0,850,29031.49,0,0,19500.06,146882.64,ptl,5,0,0,0,0,0,0,1,2,1,2,0,0,1,0,0,0,3,145000
E-5 Detective,31,,2126,Mattapan,110498.42,424.42,15455.15,0,0,0,20510.59,146888.58,det,1,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,1,145000
District 01,6,2014,2136,Hyde Park,89489.62,0,800,17998.96,661.5,37950,0,146900.08,ptl,0,0,0,0,0,0,0,0,0,1,1,6,157,1,0,112,7,0,145000
District 13,13,,2131,Roslindale,92473.81,0,800,30592.06,0,0,23118.53,146984.4,ptl,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,145000
Bicycle Unit,7,3460,2128,Boston,91192.33,0,800,22456.94,338.4,13892,18306.19,146985.86,ptl,0,0,0,0,0,0,0,0,0,1,1,28,33,1,0,38,0,0,145000
District 01,6,1943,2132,West Roxbury,89269.39,0,800,17752.64,0,21390,17853.76,147065.79,ptl,4,0,0,0,0,1,0,1,1,2,2,181,312,2,0,61,9,1,145000
Administrative Leave Unit,34,,2184,Braintree,101208.27,0,14871.36,2412.63,0,8372,20241.56,147105.82,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,48,145000
District 01,32,,2171,Quincy,97004.15,0,5132.57,14590.39,0,11040,19400.84,147167.95,ptl,0,0,0,0,0,0,0,0,0,1,1,2,116,1,0,44,0,0,145000
District 11,5,2466,2132,West Roxbury,89997.76,0,800,33791.79,0,4600,17999.43,147188.98,ptl,0,0,0,0,0,0,0,0,0,0,0,67,229,0,0,14,2,0,145000
District 02,14,2285,2169,Quincy,101170.93,0,800,25067.15,0,0,20234.06,147272.14,sergt,0,0,0,0,0,0,0,0,0,1,1,9,151,1,0,0,0,2,145000
D-14 Detective,10,6753,2124,Boston,80620.38,0,4302.95,22552.88,8462.37,12328,19032.13,147298.71,det,1,0,0,0,0,0,0,0,0,2,3,1,72,2,0,39,0,0,145000
Medically Incapacitated Unit,31,60,2359,Pembroke,0,0,15884.43,0,105207,0,26301.82,147393.25,det,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,145000
Licensing Unit,24,2817,2136,Hyde Park,96335.4,0,5274.8,24606.6,0,2024,19267.24,147508.04,ptl,3,0,1,0,0,0,0,1,1,1,1,0,3,1,0,6,0,1,150000
Medically Incapacitated Unit,5,1626,2127,Boston,88985.61,0,800,45586.83,321.67,7728,4174.71,147596.82,ptl,0,0,0,0,0,0,0,0,0,0,0,96,349,0,0,24,18,0,150000
District 04,5,1939,2124,Boston,88013.24,0,800,20982.3,1984.52,35926,0,147706.06,ptl,0,0,0,0,0,0,0,0,0,0,0,156,287,0,0,99,4,0,150000
Hazard Materials Response Unit,26,3548,2035,Foxboro,98206.71,0,13639.4,23585.08,7494.57,4784,0,147709.76,ptl,0,0,0,0,0,0,0,0,0,0,0,1,12,0,43,14,14,17,150000
D-4 DCU SQUAD,16,,2127,Boston,98406.32,0,850,48548.5,0,0,0,147804.82,ptl,0,0,0,0,0,0,0,0,0,1,1,21,85,1,0,0,0,0,150000
District 06,16,,2191,Weymouth,86968.92,0,800,45148.8,11437.4,3450,0,147805.12,ptl,4,0,3,0,0,0,0,3,3,5,7,1,178,5,0,14,0,0,150000
Crime Scene Response Unit,25,1671,1880,Wakefield,101905.88,0,876.18,960.54,14944.86,0,29212.8,147900.26,sergt,1,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,1,150000
District 01,13,764,2341,Hanson,84060.16,0,800,11153.75,12715.56,39284,0,148013.47,ptl,0,0,0,0,0,0,0,0,0,1,2,0,79,1,0,182,0,0,150000
Explosive Ordinance Unit,13,1500,2122,Boston,96207.84,0,4295.35,21140.73,0,7130,19241.68,148015.6,ptl,2,0,0,0,0,0,0,0,0,5,6,0,143,5,0,20,0,0,150000
A-1 Detective,25,,2169,Quincy,102552.44,0,5612.92,19047.09,0,368,20510.59,148091.04,det,0,0,0,0,0,0,0,0,0,1,1,0,29,1,0,1,0,1,150000
District 05,15,,2132,West Roxbury,92260.17,0,800,6493.06,0,25484,23065.07,148102.3,ptl,0,0,0,0,0,0,0,0,0,1,1,16,87,1,0,86,0,0,150000
District 07,14,1813,2129,Charlestown,97209.68,0,850,13735.19,0,36432,0,148226.87,ptl,4,0,1,0,0,1,0,1,2,3,6,13,165,3,0,115,4,0,150000
Youth Violence Strike Force,7,3160,2127,Boston,82969.6,0,800,19477.83,7253.46,19688,18044.62,148233.51,ptl,1,0,0,0,0,0,0,0,0,2,2,136,85,2,0,57,1,1,150000
Court Unit,14,,2186,Milton,92260.17,0,800,4941.35,0,27232,23065.07,148298.59,ptl,0,0,0,0,0,0,0,0,0,1,2,0,4,1,0,77,1,0,150000
Sexual Assault Unit,9,,2124,Boston,95364.03,0,800,27492.64,0,5704,18957.98,148318.65,det,1,0,0,0,0,0,0,0,0,3,5,13,212,3,0,17,1,0,150000
Medically Incapacitated Unit,14,,2124,Boston,32896.4,0,800,20260.48,61260.09,9614,23539.21,148370.18,ptl,4,0,1,0,0,0,0,2,2,4,4,0,287,4,0,23,0,1,150000
Fugitive Section,10,,2124,Boston,90223.06,0,10068.32,30156.93,0,0,18044.62,148492.93,ptl,0,0,0,0,0,0,0,0,0,0,0,8,58,0,0,0,0,0,150000
Crime Scene Response Unit,10,465,2132,West Roxbury,92216,0,800,37123.55,0,0,18443.16,148582.71,ptl,1,0,0,0,0,0,0,0,0,2,4,2,148,2,0,0,0,0,150000
Medically Incapacitated Unit,31,1296,2339,Hanover,31384.33,0,9588.77,11670.3,73822.67,1104,21041.51,148611.58,det,1,0,0,0,0,0,0,0,0,3,4,0,296,3,0,1,0,0,150000
District 11,9,1621,2122,Boston,90223.06,0,800,12717.76,0,26864,18044.62,148649.44,ptl,0,0,0,0,0,0,0,0,0,0,0,4,298,0,0,83,1,0,150000
Youth Violence Strike Force,10,,2132,West Roxbury,91419.18,0,2495.52,35509.33,658.2,184,18415.44,148681.67,ptl,3,0,0,0,1,0,0,1,1,2,3,403,16,2,0,1,9,0,150000
E-5 DCU SQUAD,10,4632,2124,Boston,74566.43,0,4091.04,31736.31,17510.95,2392,18415.44,148712.17,ptl,1,0,0,0,0,0,0,0,0,2,2,56,109,2,0,7,1,0,150000
Comm. Vehicle Unit,20,,2136,Hyde Park,96775.72,0,4260.01,11267.45,0,36432,0,148735.18,ptl,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,124,9,0,150000
E-13 DCU SQUAD,16,4375,2135,Brighton,94156.49,0,800,25365.09,0,19044,9415.73,148781.31,ptl,3,0,1,0,0,0,0,1,1,3,4,121,170,3,0,53,1,2,150000
District 04,12,4667,2132,West Roxbury,98406.32,0,800,49215.06,0,368,0,148789.38,ptl,0,0,0,0,0,0,0,0,0,0,0,3,337,0,0,1,1,2,150000
District 11,7,1657,2129,Charlestown,89497.72,0,3300,25729.51,322.37,12098,17964.03,148911.63,ptl,1,0,0,0,0,0,0,0,0,3,7,4,303,3,0,39,2,0,150000
District 06,24,,2124,Boston,105953.84,0,3832.26,33393.73,0,5842,0,149021.83,ptl,3,1,1,0,0,0,0,1,2,2,4,0,73,2,0,17,4,4,150000
C-11 Detective,15,909,2122,Boston,98618.2,0,800,29946.43,0,0,19723.59,149088.22,det,1,0,0,0,0,0,0,0,0,3,4,17,48,3,0,0,0,1,150000
District 02,14,2711,2127,Boston,59882.81,0,3350,13648.93,38523.51,33810,0,149215.25,ptl,2,0,0,0,0,0,1,1,1,1,1,3,100,1,0,92,0,3,150000
Medically Incapacitated Unit,25,309,2122,Boston,45242.99,0,800,13555.24,53072.71,26772,9831.56,149274.5,ptl,0,0,0,0,0,0,0,0,0,1,1,3,142,1,0,61,0,0,150000
Operations Division,21,,2131,Roslindale,104488.23,0,800,35953.96,0,8142,0,149384.19,ptl,0,0,0,0,0,0,0,0,0,1,1,1,223,1,0,34,10,6,150000
Medically Incapacitated Unit,12,6426,2171,Quincy,96775.72,0,800,51878.82,0,0,0,149454.54,ptl,0,0,0,0,0,0,0,0,0,0,0,4,253,0,0,0,0,2,150000
Bicycle Unit,14,516,2026,Dedham,98406.32,0,4319.19,24445.33,0,22310,0,149480.84,ptl,2,0,0,0,0,0,0,1,1,1,1,0,3,1,0,60,0,0,150000
Crime Stoppers Unit,32,,2121,Boston,98998.27,0,12792.15,27810.05,0,0,9899.9,149500.37,ptl,4,0,1,1,0,0,0,2,2,7,10,0,4,7,43,0,0,0,150000
Medically Incapacitated Unit,31,,2370,Rockland,104531.37,0,800,23291.92,0,0,20906.37,149529.66,det,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,0,1,150000
Medically Incapacitated Unit,9,,2124,Boston,71738.54,0,800,38510.05,22463.78,16146,0,149658.37,ptl,0,0,0,0,0,0,0,0,0,1,1,72,135,1,0,45,2,0,150000
District 04,13,,1982,South Hamilton,94156.49,0,800,26945.17,0,8970,18831.42,149703.08,ptl,3,0,0,1,0,0,0,1,1,2,2,12,224,2,0,25,0,1,150000
District 14,27,4244,2136,Hyde Park,106338.21,0,850,21883.42,0,20654,0,149725.63,ptl,4,0,2,0,0,0,0,2,2,2,2,25,174,2,0,61,0,3,150000
Medically Incapacitated Unit,24,,2184,Braintree,31977.57,0,800,16097.08,66338.13,14904,19662.99,149779.77,ptl,2,0,0,0,0,0,0,1,1,1,2,0,90,1,0,41,0,1,150000
Fugitive Section,12,3506,2062,Norwood,92260.17,0,5794.83,28719.46,0,0,23065.07,149839.53,ptl,1,0,0,0,0,0,0,0,0,4,6,2,1,4,0,0,0,66,150000
District 05,41,,2155,Medford,106035.82,0,7961.86,27809.02,0,8096,0,149902.7,ptl,1,0,0,0,0,0,0,0,0,3,5,0,43,3,0,30,222,1,150000
Homicide Unit,25,6504,2472,Watertown,98315.7,0,10463.53,21657.71,0,0,19662.99,150099.93,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150000
District 07,5,,2136,Hyde Park,88185.46,0,800,59558.93,0,1656,0,150200.39,ptl,0,0,0,0,0,0,0,0,0,0,0,14,779,0,0,5,16,0,150000
District 04,5,1903,2136,Hyde Park,89118.22,0,800,36603.89,0,15410,8349.36,150281.47,ptl,0,0,0,0,0,0,0,0,0,0,0,61,396,0,0,49,3,0,150000
Medically Incapacitated Unit,25,1074,2127,Boston,22374.04,0,12847.53,273.35,73961.36,21620,19267.24,150343.52,ptl,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,80,0,0,150000
District 05,12,,2061,Norwell,93483.42,0,1050,23535.34,673.07,18032,13783.37,150557.2,ptl,1,0,0,0,0,0,0,0,0,2,4,81,108,2,0,50,3,5,150000
Peer Support Unit,26,1923,2135,Brighton,96669.53,0,1660.54,28068.04,0,0,24167.36,150565.47,ptl,5,1,1,0,0,0,0,2,4,3,5,0,1,3,0,0,0,1,150000
Administrative Leave Unit,29,,2150,Chelsea,99352.26,0,9677.64,3383.95,0,18446,19870.45,150730.3,ptl,4,0,2,1,0,0,1,8,9,18,25,1,7,18,0,39,0,3,150000
Medically Incapacitated Unit,29,,2126,Mattapan,45645.6,0,800,23942.83,53352.67,2254,24749.55,150744.65,ptl,5,1,0,1,0,0,0,2,3,3,6,1,148,3,0,6,115,0,150000
District 01,9,,2124,Boston,90223.06,0,800,10200.46,0,40526,9022.37,150771.89,ptl,0,0,0,0,0,0,0,0,0,0,0,82,508,0,0,135,3,1,150000
District 05,24,2313,2136,Hyde Park,97035.82,0,800,28679.6,0,0,24258.94,150774.36,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,150000
Bicycle Unit,31,4883,2538,East Wareham,98998.27,0,4338.41,22741.43,0,0,24749.55,150827.66,ptl,3,0,1,0,0,0,0,1,2,1,2,0,1,1,0,0,0,1,150000
District 04,14,,2030,Dover,86710.89,0,850,36129.15,7726.05,552,18887.51,150855.6,sergt,0,0,0,0,0,0,0,0,0,1,3,1,65,1,0,3,4,1,150000
District 11,14,126,2467,Chestnut Hill,39186.64,0,800,31660.13,54969.85,736,23539.21,150891.83,ptl,0,0,0,0,0,0,0,0,0,1,1,268,504,1,0,3,26,2,150000
District 06,31,,2072,Stoughton,98998.27,0,800,29128.19,0,2208,19799.56,150934.02,ptl,2,0,0,0,0,0,0,1,1,4,4,0,334,4,0,4,0,0,150000
District 14,13,,2132,West Roxbury,94156.49,0,850,26496.59,0,5980,23539.21,151022.29,ptl,1,0,0,0,0,0,0,0,0,3,4,17,188,3,0,18,2,0,150000
Street Outreach Team,13,377,2339,Hanover,93754.28,0,800,31115.99,0,6624,18750.94,151045.21,ptl,0,0,0,0,0,0,0,0,0,0,0,45,144,0,32,19,21,1,150000
Sexual Assault Unit,10,1846,2125,Boston,64679.48,0,4091.04,21561.02,27397.9,14904,18415.44,151048.88,det,0,0,0,0,0,0,0,0,0,1,1,2,15,1,0,43,0,0,150000
District 02,7,2788,2132,West Roxbury,92326.72,0,800,34657.71,1010.38,22310,0,151104.81,ptl,0,0,0,0,0,0,0,0,0,0,0,294,329,0,0,62,0,0,150000
Administrative Leave Unit,12,4313,2136,Hyde Park,100435.21,0,800,38645.77,2673.32,8602,0,151156.3,ptl,4,2,2,2,0,0,1,6,12,15,26,3,229,15,0,28,10,2,150000
District 01,6,132,2132,West Roxbury,88605.93,0,800,22835.03,0,21298,17721.24,151260.2,ptl,0,0,0,0,0,0,0,0,0,1,1,34,124,1,0,65,192,0,150000
District 03,6,,2122,Boston,89660.76,0,800,47365.61,0,5152,8281.97,151260.34,ptl,0,0,0,0,0,0,0,0,0,0,0,73,424,0,0,15,3,0,150000
Explosive Ordinance Unit,24,,1460,Littleton,98230.13,0,800,19029.01,0,13662,19646.14,151367.28,ptl,1,0,0,0,0,0,0,0,0,3,6,0,69,3,83,41,0,1,150000
C-6 DCU SQUAD,7,1683,2131,Roslindale,93694.67,0,7956.92,44102.15,0,5704,0,151457.74,ptl,0,0,0,0,0,0,0,0,0,0,0,8,101,0,0,15,0,0,150000
